服务器ID,玩家ID,记录类型,说明,猿猴币数量,自选宝箱数量,时间
2027002,20461740,需补发-阶段二未发放,"兑换5000档位, 阶段二未发放x1次",2500,3,
2084102,204670965,充值购买,"礼包2013511020, 花费$19.99",2000,,2026-04-15 08:36:43.344
2084102,204670965,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-15 08:37:10.540
2084102,204670965,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 08:04:09.926
2084102,204670965,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2084102,205172615,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-16 15:29:55.799
2084102,205172615,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 11:42:04.548
2084102,205172615,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2007202,20540315,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-15 14:36:16.573
2007202,20540315,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 15:07:13.456
2007202,20540315,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2085302,207180683,充值购买,"礼包2013511022, 花费$99.99",10000,,2026-04-17 00:40:08.879
2085302,207180683,兑换消耗,花费10000猿猴币兑换奖励,-10000,,2026-04-17 00:40:39.311
2085302,207180683,已领取-阶段一返还,返还5000猿猴币+10个自选宝箱,5000,10,2026-04-18 11:05:33.436
2085302,207180683,需补发-阶段二未发放,"兑换10000档位, 阶段二未发放x1次",5000,10,
2086302,207982806,兑换消耗,花费50000猿猴币兑换奖励,-50000,,2026-04-15 14:06:08.656
2086302,207982806,已领取-阶段一返还,返还25000猿猴币+85个自选宝箱,25000,85,2026-04-18 08:51:33.805
2086302,207982806,需补发-阶段二未发放,"兑换50000档位, 阶段二未发放x1次",25000,85,
2086302,208392743,兑换消耗,花费10000猿猴币兑换奖励,-10000,,2026-04-15 22:54:16.361
2086302,208392743,兑换消耗,花费5000猿猴币兑换奖励,-5000,,2026-04-17 07:21:33.128
2086302,208392743,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-17 07:21:35.298
2086302,208392743,已领取-阶段一返还,返还5000猿猴币+10个自选宝箱,5000,10,2026-04-18 09:04:59.996
2086302,208392743,已领取-阶段一返还,返还2500猿猴币+3个自选宝箱,2500,3,2026-04-18 09:05:03.496
2086302,208392743,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 09:05:50.276
2086302,208392743,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2086302,208392743,需补发-阶段二未发放,"兑换5000档位, 阶段二未发放x1次",2500,3,
2086302,208392743,需补发-阶段二未发放,"兑换10000档位, 阶段二未发放x1次",5000,10,
2085302,208909340,兑换消耗,花费50000猿猴币兑换奖励,-50000,,2026-04-15 22:30:26.643
2085302,208909340,已领取-阶段一返还,返还25000猿猴币+85个自选宝箱,25000,85,2026-04-18 10:26:37.018
2085302,208909340,需补发-阶段二未发放,"兑换50000档位, 阶段二未发放x1次",25000,85,
2084502,209538568,兑换消耗,花费30000猿猴币兑换奖励,-30000,,2026-04-15 15:53:55.285
2084502,209538568,已领取-阶段一返还,返还15000猿猴币+40个自选宝箱,15000,40,2026-04-18 08:13:34.739
2084502,209538568,需补发-阶段二未发放,"兑换30000档位, 阶段二未发放x1次",15000,40,
2605902,210267883,充值购买,"礼包2013511020, 花费$19.99",2000,,2026-04-16 08:47:44.103
2605902,210267883,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-16 08:48:10.962
2605902,210267883,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 08:23:05.130
2605902,210267883,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2088302,210290432,兑换消耗,花费10000猿猴币兑换奖励,-10000,,2026-04-15 12:49:07.543
2088302,210290432,已领取-阶段一返还,返还5000猿猴币+10个自选宝箱,5000,10,2026-04-18 13:33:09.110
2088302,210290432,需补发-阶段二未发放,"兑换10000档位, 阶段二未发放x1次",5000,10,
2087402,210640850,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-16 17:04:24.998
2087402,210640850,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 16:21:26.200
2087402,210640850,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2023502,21076020,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-16 23:11:49.503
2023502,21076020,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 09:56:09.622
2023502,21076020,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2088302,211456327,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-15 08:19:52.272
2088302,211456327,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 08:07:57.264
2088302,211456327,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2029902,21167199,兑换消耗,花费5000猿猴币兑换奖励,-5000,,2026-04-15 12:45:00.133
2029902,21167199,已领取-阶段一返还,返还2500猿猴币+3个自选宝箱,2500,3,2026-04-18 16:03:02.316
2029902,21167199,需补发-阶段二未发放,"兑换5000档位, 阶段二未发放x1次",2500,3,
2033902,21176447,充值购买,"礼包2013511020, 花费$19.99",2000,,2026-04-15 23:25:07.953
2033902,21176447,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-15 23:27:58.106
2033902,21176447,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 08:09:54.102
2033902,21176447,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2088202,211904728,兑换消耗,花费50000猿猴币兑换奖励,-50000,,2026-04-15 23:18:43.824
2088202,211904728,已领取-阶段一返还,返还25000猿猴币+85个自选宝箱,25000,85,2026-04-18 08:49:22.382
2088202,211904728,需补发-阶段二未发放,"兑换50000档位, 阶段二未发放x1次",25000,85,
2605902,213270020,充值购买,"礼包2013511020, 花费$19.99",2000,,2026-04-16 08:28:37.413
2605902,213270020,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-16 08:29:06.714
2605902,213270020,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 08:09:04.729
2605902,213270020,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2010108,213445284,兑换消耗,花费10000猿猴币兑换奖励,-10000,,2026-04-16 07:13:57.621
2010108,213445284,兑换消耗,花费5000猿猴币兑换奖励,-5000,,2026-04-18 03:42:39.684
2010108,213445284,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-18 03:58:54.970
2010108,213445284,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 22:16:54.641
2010108,213445284,已领取-阶段一返还,返还2500猿猴币+3个自选宝箱,2500,3,2026-04-19 02:26:57.602
2010108,213445284,已领取-阶段一返还,返还5000猿猴币+10个自选宝箱,5000,10,2026-04-19 02:27:08.409
2010108,213445284,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2010108,213445284,需补发-阶段二未发放,"兑换5000档位, 阶段二未发放x1次",2500,3,
2010108,213445284,需补发-阶段二未发放,"兑换10000档位, 阶段二未发放x1次",5000,10,
2010108,213565997,充值购买,"礼包2013511020, 花费$19.99",2000,,2026-04-15 18:29:34.122
2010108,213565997,充值购买,"礼包2013511020, 花费$19.99",2000,,2026-04-20 07:03:33.589
2010108,213565997,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-15 18:31:03.681
2010108,213565997,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-19 08:10:06.373
2010108,213565997,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2606502,214679593,充值购买,"礼包2013511022, 花费$99.99",10000,,2026-04-15 08:42:55.285
2606502,214679593,兑换消耗,花费10000猿猴币兑换奖励,-10000,,2026-04-15 08:43:04.851
2606502,214679593,兑换消耗,花费5000猿猴币兑换奖励,-5000,,2026-04-15 09:02:17.874
2606502,214679593,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-15 09:02:19.478
2606502,214679593,已领取-阶段一返还,返还1000猿猴币+0个自选宝箱,1000,0,2026-04-18 08:00:39.851
2606502,214679593,已领取-阶段一返还,返还0猿猴币+1个自选宝箱,0,1,2026-04-18 08:00:39.852
2606502,214679593,已领取-阶段一返还,返还2500猿猴币+3个自选宝箱,2500,3,2026-04-18 08:00:42.751
2606502,214679593,已领取-阶段一返还,返还5000猿猴币+10个自选宝箱,5000,10,2026-04-18 08:00:45.221
2606502,214679593,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2606502,214679593,需补发-阶段二未发放,"兑换5000档位, 阶段二未发放x1次",2500,3,
2606502,214679593,需补发-阶段二未发放,"兑换10000档位, 阶段二未发放x1次",5000,10,
2039502,21513924,兑换消耗,花费5000猿猴币兑换奖励,-5000,,2026-04-17 01:45:23.948
2039502,21513924,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 09:48:23.369
2039502,21513924,已领取-阶段一返还,返还2500猿猴币+3个自选宝箱,2500,3,2026-04-18 09:48:28.500
2039502,21513924,需补发-阶段二未发放,"兑换5000档位, 阶段二未发放x1次",2500,3,
2010108,215520292,兑换消耗,花费10000猿猴币兑换奖励,-10000,,2026-04-18 07:52:25.651
2010108,215520292,兑换消耗,花费5000猿猴币兑换奖励,-5000,,2026-04-18 07:52:27.667
2010108,215520292,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-18 07:52:28.935
2010108,215520292,兑换消耗,花费30000猿猴币兑换奖励,-30000,,2026-04-18 07:52:36.420
2010108,215520292,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 08:29:15.820
2010108,215520292,已领取-阶段一返还,返还2500猿猴币+3个自选宝箱,2500,3,2026-04-18 08:29:22.599
2010108,215520292,已领取-阶段一返还,返还5000猿猴币+10个自选宝箱,5000,10,2026-04-18 08:29:29.367
2010108,215520292,已领取-阶段一返还,返还10000猿猴币+22个自选宝箱,10000,22,2026-04-18 08:29:35.303
2010108,215520292,已领取-阶段一返还,返还15000猿猴币+40个自选宝箱,15000,40,2026-04-18 08:29:39.222
2010108,215520292,已领取-阶段一返还,返还25000猿猴币+85个自选宝箱,25000,85,2026-04-18 08:29:42.938
2010108,215520292,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2010108,215520292,需补发-阶段二未发放,"兑换5000档位, 阶段二未发放x1次",2500,3,
2010108,215520292,需补发-阶段二未发放,"兑换10000档位, 阶段二未发放x1次",5000,10,
2010108,215520292,需补发-阶段二未发放,"兑换30000档位, 阶段二未发放x1次",15000,40,
2050802,21635172,充值购买,"礼包2013511022, 花费$99.99",10000,,2026-04-17 10:36:07.261
2050802,21635172,充值购买,"礼包2013511022, 花费$99.99",10000,,2026-04-17 10:51:13.101
2050802,21635172,充值购买,"礼包2013511022, 花费$99.99",10000,,2026-04-17 10:52:30.450
2050802,21635172,充值购买,"礼包2013511022, 花费$99.99",10000,,2026-04-17 10:54:35.336
2050802,21635172,充值购买,"礼包2013511021, 花费$49.99",5000,,2026-04-17 23:28:07.816
2050802,21635172,兑换消耗,花费10000猿猴币兑换奖励,-10000,,2026-04-17 23:28:28.843
2050802,21635172,兑换消耗,花费5000猿猴币兑换奖励,-5000,,2026-04-17 23:28:35.064
2050802,21635172,已领取-阶段一返还,返还2500猿猴币+3个自选宝箱,2500,3,2026-04-18 08:05:36.498
2050802,21635172,已领取-阶段一返还,返还5000猿猴币+10个自选宝箱,5000,10,2026-04-18 08:05:51.370
2050802,21635172,已领取-阶段一返还,返还15000猿猴币+40个自选宝箱,15000,40,2026-04-18 08:05:53.872
2050802,21635172,需补发-阶段二未发放,"兑换5000档位, 阶段二未发放x1次",2500,3,
2050802,21635172,需补发-阶段二未发放,"兑换10000档位, 阶段二未发放x1次",5000,10,
2010108,216595247,兑换消耗,花费20000猿猴币兑换奖励,-20000,,2026-04-17 02:33:14.784
2010108,216595247,已领取-阶段一返还,返还10000猿猴币+22个自选宝箱,10000,22,2026-04-18 08:50:10.677
2010108,216595247,需补发-阶段二未发放,"兑换20000档位, 阶段二未发放x1次",10000,22,
2000808,219012183,兑换消耗,花费10000猿猴币兑换奖励,-10000,,2026-04-15 16:51:03.076
2000808,219012183,兑换消耗,花费5000猿猴币兑换奖励,-5000,,2026-04-15 17:11:54.967
2000808,219012183,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-15 17:12:03.031
2000808,219012183,兑换消耗,花费50000猿猴币兑换奖励,-50000,,2026-04-15 19:58:58.126
2000808,219012183,兑换消耗,花费30000猿猴币兑换奖励,-30000,,2026-04-15 19:59:14.406
2000808,219012183,兑换消耗,花费20000猿猴币兑换奖励,-20000,,2026-04-15 19:59:23.235
2000808,219012183,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 08:04:00.641
2000808,219012183,已领取-阶段一返还,返还2500猿猴币+3个自选宝箱,2500,3,2026-04-18 08:04:06.161
2000808,219012183,已领取-阶段一返还,返还5000猿猴币+10个自选宝箱,5000,10,2026-04-18 08:04:12.806
2000808,219012183,已领取-阶段一返还,返还10000猿猴币+22个自选宝箱,10000,22,2026-04-18 08:04:20.870
2000808,219012183,已领取-阶段一返还,返还15000猿猴币+40个自选宝箱,15000,40,2026-04-18 08:04:26.043
2000808,219012183,已领取-阶段一返还,返还25000猿猴币+85个自选宝箱,25000,85,2026-04-18 08:04:31.026
2000808,219012183,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2000808,219012183,需补发-阶段二未发放,"兑换5000档位, 阶段二未发放x1次",2500,3,
2000808,219012183,需补发-阶段二未发放,"兑换10000档位, 阶段二未发放x1次",5000,10,
2000808,219012183,需补发-阶段二未发放,"兑换20000档位, 阶段二未发放x1次",10000,22,
2000808,219012183,需补发-阶段二未发放,"兑换30000档位, 阶段二未发放x1次",15000,40,
2000808,219012183,需补发-阶段二未发放,"兑换50000档位, 阶段二未发放x1次",25000,85,
2075202,21913740,充值购买,"礼包2013511020, 花费$19.99",2000,,2026-04-17 17:25:05.651
2075202,21913740,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-17 17:25:19.670
2075202,21913740,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 12:07:34.858
2075202,21913740,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2000808,219915914,兑换消耗,花费5000猿猴币兑换奖励,-5000,,2026-04-15 17:25:16.737
2000808,219915914,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-17 15:27:50.480
2000808,219915914,已领取-阶段一返还,返还2500猿猴币+3个自选宝箱,2500,3,2026-04-18 08:11:31.039
2000808,219915914,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 08:11:34.169
2000808,219915914,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2000808,219915914,需补发-阶段二未发放,"兑换5000档位, 阶段二未发放x1次",2500,3,
2092702,220519286,兑换消耗,花费10000猿猴币兑换奖励,-10000,,2026-04-16 01:48:16.098
2092702,220519286,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 09:22:51.063
2092702,220519286,已领取-阶段一返还,返还2500猿猴币+3个自选宝箱,2500,3,2026-04-18 09:22:53.228
2092702,220519286,已领取-阶段一返还,返还5000猿猴币+10个自选宝箱,5000,10,2026-04-18 09:22:55.335
2092702,220519286,已领取-阶段一返还,返还10000猿猴币+22个自选宝箱,10000,22,2026-04-18 09:22:58.575
2092702,220519286,已领取-阶段一返还,返还15000猿猴币+40个自选宝箱,15000,40,2026-04-18 09:23:01.442
2092702,220519286,需补发-阶段二未发放,"兑换10000档位, 阶段二未发放x1次",5000,10,
2038602,22245308,充值购买,"礼包2013511022, 花费$99.99",10000,,2026-04-16 12:09:45.673
2038602,22245308,充值购买,"礼包2013511021, 花费$49.99",5000,,2026-04-17 12:09:29.056
2038602,22245308,兑换消耗,花费10000猿猴币兑换奖励,-10000,,2026-04-16 12:36:50.669
2038602,22245308,已领取-阶段一返还,返还2500猿猴币+3个自选宝箱,2500,3,2026-04-18 08:08:46.677
2038602,22245308,已领取-阶段一返还,返还5000猿猴币+10个自选宝箱,5000,10,2026-04-18 08:08:49.377
2038602,22245308,需补发-阶段二未发放,"兑换10000档位, 阶段二未发放x1次",5000,10,
2024502,22464954,充值购买,"礼包2013511022, 花费$99.99",10000,,2026-04-18 07:45:34.144
2024502,22464954,充值购买,"礼包2013511021, 花费$49.99",5000,,2026-04-18 07:47:28.681
2024502,22464954,充值购买,"礼包2013511020, 花费$19.99",2000,,2026-04-18 07:49:24.989
2024502,22464954,充值购买,"礼包2013511022, 花费$99.99",10000,,2026-04-18 07:52:30.320
2024502,22464954,充值购买,"礼包2013511022, 花费$99.99",10000,,2026-04-18 07:52:47.020
2024502,22464954,兑换消耗,花费10000猿猴币兑换奖励,-10000,,2026-04-18 07:46:08.920
2024502,22464954,兑换消耗,花费5000猿猴币兑换奖励,-5000,,2026-04-18 07:47:40.655
2024502,22464954,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-18 07:49:30.845
2024502,22464954,兑换消耗,花费20000猿猴币兑换奖励,-20000,,2026-04-18 07:52:58.815
2024502,22464954,已领取-阶段一返还,返还10000猿猴币+22个自选宝箱,10000,22,2026-04-18 08:05:44.494
2024502,22464954,已领取-阶段一返还,返还5000猿猴币+10个自选宝箱,5000,10,2026-04-18 08:05:47.670
2024502,22464954,已领取-阶段一返还,返还2500猿猴币+3个自选宝箱,2500,3,2026-04-18 08:05:52.573
2024502,22464954,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 08:05:54.573
2024502,22464954,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2024502,22464954,需补发-阶段二未发放,"兑换5000档位, 阶段二未发放x1次",2500,3,
2024502,22464954,需补发-阶段二未发放,"兑换10000档位, 阶段二未发放x1次",5000,10,
2024502,22464954,需补发-阶段二未发放,"兑换20000档位, 阶段二未发放x1次",10000,22,
2007202,22627293,充值购买,"礼包2013511020, 花费$19.99",2000,,2026-04-15 13:56:59.325
2007202,22627293,充值购买,"礼包2013511022, 花费$99.99",10000,,2026-04-16 00:19:40.096
2007202,22627293,充值购买,"礼包2013511021, 花费$49.99",5000,,2026-04-16 00:20:24.658
2007202,22627293,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-15 13:57:27.735
2007202,22627293,兑换消耗,花费10000猿猴币兑换奖励,-10000,,2026-04-16 00:19:44.997
2007202,22627293,兑换消耗,花费5000猿猴币兑换奖励,-5000,,2026-04-16 00:20:27.672
2007202,22627293,已领取-阶段一返还,返还5000猿猴币+10个自选宝箱,5000,10,2026-04-18 08:01:49.187
2007202,22627293,已领取-阶段一返还,返还2500猿猴币+3个自选宝箱,2500,3,2026-04-18 08:01:51.568
2007202,22627293,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 08:01:53.972
2007202,22627293,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2007202,22627293,需补发-阶段二未发放,"兑换5000档位, 阶段二未发放x1次",2500,3,
2007202,22627293,需补发-阶段二未发放,"兑换10000档位, 阶段二未发放x1次",5000,10,
2030002,22873602,兑换消耗,花费5000猿猴币兑换奖励,-5000,,2026-04-18 07:42:03.647
2030002,22873602,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 08:38:13.841
2030002,22873602,已领取-阶段一返还,返还2500猿猴币+3个自选宝箱,2500,3,2026-04-18 08:38:17.512
2030002,22873602,需补发-阶段二未发放,"兑换5000档位, 阶段二未发放x1次",2500,3,
2007202,23809498,兑换消耗,花费10000猿猴币兑换奖励,-10000,,2026-04-16 00:44:50.889
2007202,23809498,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 13:15:38.383
2007202,23809498,已领取-阶段一返还,返还2500猿猴币+3个自选宝箱,2500,3,2026-04-18 13:15:44.096
2007202,23809498,已领取-阶段一返还,返还5000猿猴币+10个自选宝箱,5000,10,2026-04-18 13:15:48.359
2007202,23809498,需补发-阶段二未发放,"兑换10000档位, 阶段二未发放x1次",5000,10,
2031402,23936740,兑换消耗,花费20000猿猴币兑换奖励,-20000,,2026-04-15 20:23:47.665
2031402,23936740,已领取-阶段一返还,返还10000猿猴币+22个自选宝箱,10000,22,2026-04-18 10:10:17.752
2031402,23936740,需补发-阶段二未发放,"兑换20000档位, 阶段二未发放x1次",10000,22,
2041002,23984226,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-15 12:59:56.403
2041002,23984226,兑换消耗,花费5000猿猴币兑换奖励,-5000,,2026-04-15 12:59:58.403
2041002,23984226,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 08:11:29.557
2041002,23984226,已领取-阶段一返还,返还2500猿猴币+3个自选宝箱,2500,3,2026-04-18 08:11:31.120
2041002,23984226,已领取-阶段一返还,返还5000猿猴币+10个自选宝箱,5000,10,2026-04-18 08:11:33.304
2041002,23984226,已领取-阶段一返还,返还10000猿猴币+22个自选宝箱,10000,22,2026-04-18 08:11:34.738
2041002,23984226,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2041002,23984226,需补发-阶段二未发放,"兑换5000档位, 阶段二未发放x1次",2500,3,
2031402,24196485,充值购买,"礼包2013511022, 花费$99.99",10000,,2026-04-15 08:03:56.803
2031402,24196485,充值购买,"礼包2013511022, 花费$99.99",10000,,2026-04-15 08:04:33.942
2031402,24196485,充值购买,"礼包2013511022, 花费$99.99",10000,,2026-04-15 08:05:35.710
2031402,24196485,充值购买,"礼包2013511022, 花费$99.99",10000,,2026-04-15 08:07:21.095
2031402,24196485,兑换消耗,花费50000猿猴币兑换奖励,-50000,,2026-04-15 11:19:09.548
2031402,24196485,兑换消耗,花费5000猿猴币兑换奖励,-5000,,2026-04-16 19:52:53.896
2031402,24196485,已领取-阶段一返还,返还2500猿猴币+3个自选宝箱,2500,3,2026-04-18 08:03:05.345
2031402,24196485,已领取-阶段一返还,返还5000猿猴币+10个自选宝箱,5000,10,2026-04-18 08:03:08.305
2031402,24196485,已领取-阶段一返还,返还10000猿猴币+22个自选宝箱,10000,22,2026-04-18 08:03:11.465
2031402,24196485,已领取-阶段一返还,返还15000猿猴币+40个自选宝箱,15000,40,2026-04-18 08:03:14.555
2031402,24196485,已领取-阶段一返还,返还25000猿猴币+85个自选宝箱,25000,85,2026-04-18 08:03:17.655
2031402,24196485,需补发-阶段二未发放,"兑换5000档位, 阶段二未发放x1次",2500,3,
2031402,24196485,需补发-阶段二未发放,"兑换50000档位, 阶段二未发放x1次",25000,85,
2031402,24265128,兑换消耗,花费5000猿猴币兑换奖励,-5000,,2026-04-15 16:05:12.394
2031402,24265128,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-15 22:29:47.334
2031402,24265128,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 12:10:18.209
2031402,24265128,已领取-阶段一返还,返还2500猿猴币+3个自选宝箱,2500,3,2026-04-18 12:10:20.622
2031402,24265128,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2031402,24265128,需补发-阶段二未发放,"兑换5000档位, 阶段二未发放x1次",2500,3,
2031402,24630904,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-15 22:40:32.781
2031402,24630904,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-20 06:49:59.343
2031402,24630904,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2062602,24836888,充值购买,"礼包2013511022, 花费$99.99",10000,,2026-04-17 20:11:25.735
2062602,24836888,兑换消耗,花费10000猿猴币兑换奖励,-10000,,2026-04-17 20:12:04.316
2062602,24836888,已领取-阶段一返还,返还5000猿猴币+10个自选宝箱,5000,10,2026-04-18 08:00:47.691
2062602,24836888,需补发-阶段二未发放,"兑换10000档位, 阶段二未发放x1次",5000,10,
2037402,24952300,充值购买,"礼包2013511022, 花费$99.99",10000,,2026-04-16 08:34:49.411
2037402,24952300,充值购买,"礼包2013511022, 花费$99.99",10000,,2026-04-16 21:56:12.366
2037402,24952300,充值购买,"礼包2013511021, 花费$49.99",5000,,2026-04-16 21:56:40.844
2037402,24952300,充值购买,"礼包2013511020, 花费$19.99",2000,,2026-04-16 21:56:50.888
2037402,24952300,充值购买,"礼包2013511020, 花费$19.99",2000,,2026-04-16 22:36:23.366
2037402,24952300,充值购买,"礼包2013511022, 花费$99.99",10000,,2026-04-17 01:50:50.143
2037402,24952300,兑换消耗,花费5000猿猴币兑换奖励,-5000,,2026-04-15 08:31:49.159
2037402,24952300,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-15 08:32:39.117
2037402,24952300,兑换消耗,花费10000猿猴币兑换奖励,-10000,,2026-04-15 08:36:02.691
2037402,24952300,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 08:00:33.371
2037402,24952300,已领取-阶段一返还,返还2500猿猴币+3个自选宝箱,2500,3,2026-04-18 08:00:35.956
2037402,24952300,已领取-阶段一返还,返还5000猿猴币+10个自选宝箱,5000,10,2026-04-18 08:00:38.376
2037402,24952300,已领取-阶段一返还,返还10000猿猴币+22个自选宝箱,10000,22,2026-04-18 08:00:41.888
2037402,24952300,已领取-阶段一返还,返还15000猿猴币+40个自选宝箱,15000,40,2026-04-18 08:00:44.812
2037402,24952300,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2037402,24952300,需补发-阶段二未发放,"兑换5000档位, 阶段二未发放x1次",2500,3,
2037402,24952300,需补发-阶段二未发放,"兑换10000档位, 阶段二未发放x1次",5000,10,
2033902,25225869,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-16 00:34:20.728
2033902,25225869,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 08:01:12.678
2033902,25225869,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2016902,25491019,兑换消耗,花费50000猿猴币兑换奖励,-50000,,2026-04-18 04:40:41.154
2016902,25491019,已领取-阶段一返还,返还25000猿猴币+85个自选宝箱,25000,85,2026-04-18 08:04:10.975
2016902,25491019,需补发-阶段二未发放,"兑换50000档位, 阶段二未发放x1次",25000,85,
2007202,258957,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-16 05:43:41.895
2007202,258957,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 19:35:33.896
2007202,258957,已领取-阶段一返还,返还2500猿猴币+3个自选宝箱,2500,3,2026-04-18 19:35:35.811
2007202,258957,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2038602,26391637,充值购买,"礼包2013511022, 花费$99.99",10000,,2026-04-16 14:18:22.645
2038602,26391637,充值购买,"礼包2013511022, 花费$99.99",10000,,2026-04-17 14:49:44.162
2038602,26391637,充值购买,"礼包2013511022, 花费$99.99",10000,,2026-04-17 14:54:57.898
2038602,26391637,兑换消耗,花费10000猿猴币兑换奖励,-10000,,2026-04-16 14:32:00.646
