cs	cs	cs	cs		cs	cs	cs	cs	c	cs	c	cs	cs	
133501	1335	1	53017	热浪尤物·赛米拉	1	1131	1500	1	998		传说		2065|2066|2067|2068|2069|2070	
133502	1335	1	5302201	战斧女王·阿迪娜	1	1131	1200	1	997				2071|2072|2073|2074|2075|2076	
133503	1335	1	53036	月影华裳·霍普金斯	1	1131	1500	1	996		传说		2065|2066|2067|2068|2069|2070	
133504	1335	1	5303501	守护誓约·阿什顿	1	1131	1200	1	995				2071|2072|2073|2074|2075|2076	
133505	1335	1	5303601	万圣魔女·哈妮	1	1131	1500	1	994		传说		2065|2066|2067|2068|2069|2070	
133527	1335	1	5303001	糖杖小红帽·弗莱彻	1	1131	1500	1	993		传说		2065|2066|2067|2068|2069|2070	
133506	1335	1	15065	深海猎手（永久）	1	1131	1200	1	992				2071|2072|2073|2074|2075|2076	
133507	1335	1	15069	蒸猎航迹	1	1131	200	1	991				2071|2072|2073|2074|2075|2076	
133508	1335	1	15075	Duck You!（永久）	1	1131	1200	1	990				2071|2072|2073|2074|2075|2076	
133509	1335	1	15079	鸭力航迹	1	1131	200	1	989				2071|2072|2073|2074|2075|2076	
133510	1335	1	15085	冰淇淋大冒险号（永久）	1	1131	1500	1	988		传说		2065|2066|2067|2068|2069|2070	
133511	1335	1	15089	缤纷航迹	1	1131	200	1	987				2071|2072|2073|2074|2075|2076	
133512	1335	1	15091	天际彩飨（永久）	1	1131	1500	1	986		传说		2065|2066|2067|2068|2069|2070	
133513	1335	1	15093	庆典航迹	1	1131	200	1	985				2071|2072|2073|2074|2075|2076	
133514	1335	1	15111	守护鲸灵（永久）	1	1131	1200	1	984				2071|2072|2073|2074|2075|2076	
133515	1335	1	15113	鲸灵航迹	1	1131	200	1	983				2071|2072|2073|2074|2075|2076	
133516	1335	1	15135	炽焰龙舟（永久）	1	1131	1500	1	982		传说		2065|2066|2067|2068|2069|2070	
133517	1335	1	15136	炎龙航迹	1	1131	200	1	981				2071|2072|2073|2074|2075|2076	
133518	1335	1	152003	皇宫浮雕（横梁）	1	1131	300	1	980				2071|2072|2073|2074|2075|2076	
133519	1335	1	152002	皇宫地毯（地板）	1	1131	70	1	979				2071|2072|2073|2074|2075|2076	
133520	1335	1	152004	皇宫墙纸（墙纸）	1	1131	70	1	978				2071|2072|2073|2074|2075|2076	
133521	1335	1	152011	自由意志（横梁）	1	1131	300	1	977				2071|2072|2073|2074|2075|2076	
133522	1335	1	152012	自由意志（地板）	1	1131	70	1	976				2071|2072|2073|2074|2075|2076	
133523	1335	1	152013	自由意志（墙纸）	1	1131	70	1	975				2071|2072|2073|2074|2075|2076	
133524	1335	1	152017	海滨假日（横梁）	1	1131	300	1	974				2071|2072|2073|2074|2075|2076	
133525	1335	1	152018	海滨假日（地板）	1	1131	70	1	973				2071|2072|2073|2074|2075|2076	
133526	1335	1	152019	海滨假日（墙纸）	1	1131	70	1	972				2071|2072|2073|2074|2075|2076	
133700	1337	1	52003	万能传奇信物	1	1135	100	5	999		"<size=40>50%</size>
每日刷新"	1		
133701	1337	1	1080	头像框自选礼包	1	1135	1000	1	998		专属			
133702	1337	1	180077	我对你的誓言（纪念卡）	1	1135	400	99	997		专属			
133703	1337	1	154002	幸运家具木匣	1	1135	1000	1	996					
133704	1337	1	2077	随机传说折扣券	1	1135	4000	1	995					
133705	1337	1	2079	随机折扣券	1	1135	3000	1	994					
133706	1337	1	166004	传奇英雄装备宝箱	1	1135	700	3	993					
133707	1337	1	55000	通用技能碎片	1	1135	200	100	992					
133708	1337	1	52003	万能传奇信物	1	1135	200	100	991					
133709	1337	1	166006	幸运英雄装备宝箱	1	1135	50	300	990		83%			
133710	1337	1	19003	传奇技能书	1	1135	20	300	989					
133711	1337	1	55101	神秘金属	1	1135	25	100	988					
133712	1337	1	55100	高级木板	1	1135	8	300	987					
133713	1337	1	1015	硬木板	1000	1135	1	9999	986					
133714	1337	1	1008	冒险阅历	1000	1135	1	9999	985					
133800	1338	1	52003	万能传奇信物	1	1139	100	5	999		"<size=40>50%</size>
每日刷新"	1		
133801	1338	1	1080	头像框自选礼包	1	1139	1000	1	998		专属			
133802	1338	1	180078	新春特辑（纪念卡）	1	1139	400	99	997		专属			
133803	1338	1	2077	随机传说折扣券	1	1139	4000	1	996					
133804	1338	1	2079	随机折扣券	1	1139	3000	1	995					
133805	1338	1	166004	传奇英雄装备宝箱	1	1139	700	3	994					
133806	1338	1	55000	通用技能碎片	1	1139	200	100	993					
133807	1338	1	52003	万能传奇信物	1	1139	200	100	992					
133808	1338	1	166006	幸运英雄装备宝箱	1	1139	50	300	991		83%			
133809	1338	1	19003	传奇技能书	1	1139	20	300	990					
133810	1338	1	55101	神秘金属	1	1139	25	100	989					
133811	1338	1	55100	高级木板	1	1139	8	300	988					
133812	1338	1	1015	硬木板	1000	1139	1	9999	987					
133813	1338	1	1008	冒险阅历	1000	1139	1	9999	986					
210000	2100	1	51008	信物-克里斯塔尔	1	1039	20	300	999					
210001	2100	1	51010	信物-莎拉	1	1039	20	300	998					
210002	2100	1	51017	信物-赛米拉	1	1039	20	300	997					
210003	2100	1	51022	信物-阿迪娜	1	1039	20	300	996					
210004	2100	1	51026	信物-海瑞克斯	1	1039	20	300	994					
210005	2100	1	51030	信物-弗莱彻	1	1039	20	300	992					
210006	2100	1	51031	信物-海瑟	1	1039	20	300	991					
210007	2100	1	51032	信物-斯隆	1	1039	20	300	990					
210008	2100	1	51033	信物-玛琳娜	1	1039	20	300	989					
210009	2100	1	51036	信物-哈妮	1	1039	20	300	988					
210010	2100	1	51040	信物-爱莉希雅	1	1039	20	300	987					
210011	2100	1	51042	信物-夜玫瑰	1	1039	20	300	986					
210012	2100	1	51043	信物-凌霜	1	1039	20	300	985					
210013	2100	1	51044	信物-星璃	1	1039	20	300	984					
210014	2100	1	51045	信物-露娜	1	1039	20	300	983					
210015	2100	1	51047	信物-艾琳娜	1	1039	20	300	982					
210016	2100	1	51048	信物-金明珠	1	1039	20	300	981					
210017	2100	1	51008	信物-克里斯塔尔	1	1039	10	500	999	1				
210018	2100	1	51010	信物-莎拉	1	1039	10	500	998	1				
210019	2100	1	51017	信物-赛米拉	1	1039	10	500	997	1				
210020	2100	1	51022	信物-阿迪娜	1	1039	10	500	996	1				
210021	2100	1	51026	信物-海瑞克斯	1	1039	10	500	994	1				
210022	2100	1	51030	信物-弗莱彻	1	1039	10	500	992	1				
210023	2100	1	51031	信物-海瑟	1	1039	10	500	991	1				
210024	2100	1	51032	信物-斯隆	1	1039	10	500	990	1				
210025	2100	1	51033	信物-玛琳娜	1	1039	10	500	989	1				
210026	2100	1	51036	信物-哈妮	1	1039	10	500	988	1				
210027	2100	1	51040	信物-爱莉希雅	1	1039	10	500	987	1				
210028	2100	1	51042	信物-夜玫瑰	1	1039	10	500	986	1				
210029	2100	1	51043	信物-凌霜	1	1039	10	500	985	1				
210030	2100	1	51044	信物-星璃	1	1039	10	500	984	1				
210031	2100	1	51045	信物-露娜	1	1039	10	500	983	1				
210032	2100	1	51047	信物-艾琳娜	1	1039	10	500	982	1				
210033	2100	1	51048	信物-金明珠	1	1039	10	500	981	1				
														
210034	1339	1	52003	万能传奇信物	1	1147	100	5	999		"<size=40>50%</size>
每日刷新"	1		
210035	1339	1	1080	头像框自选礼包	1	1147	1000	1	998		专属			
210036	1339	1	180079	绿茵之星（纪念卡）	1	1147	400	99	997		专属			
210037	1339	1	154002	幸运家具木匣	1	1147	1000	1	996					
210040	1339	1	166004	传奇英雄装备宝箱	1	1147	700	3	993					
210041	1339	1	55000	通用技能碎片	1	1147	200	100	992					
210042	1339	1	52003	万能传奇信物	1	1147	200	100	991					
210043	1339	1	166006	幸运英雄装备宝箱	1	1147	50	300	990		83%			
210044	1339	1	19003	传奇技能书	1	1147	20	300	989					
210045	1339	1	55101	神秘金属	1	1147	25	100	988					
210046	1339	1	55100	高级木板	1	1147	8	300	987					
210047	1339	1	1015	硬木板	1000	1147	1	9999	986					
210048	1339	1	1008	冒险阅历	1000	1147	1	9999	985					
134000	1340	1	52003	万能传奇信物	1	1201	100	5	999		<size=40>50%</size>			
134001	1340	1	1080	头像框自选礼包	1	1201	1000	1	998		专属			
134002	1340	1	180080	远航之歌（纪念卡）	1	1201	400	99	997		专属			
134003	1340	1	154002	幸运家具木匣	1	1201	1000	1	996					
134006	1340	1	166004	传奇英雄装备宝箱	1	1201	700	3	993					
134007	1340	1	55000	通用技能碎片	1	1201	200	100	992					
134008	1340	1	52003	万能传奇信物	1	1201	200	100	991					
134009	1340	1	166006	幸运英雄装备宝箱	1	1201	50	300	990		83%			
134010	1340	1	19003	传奇技能书	1	1201	20	300	989					
134011	1340	1	55101	神秘金属	1	1201	25	100	988					
134012	1340	1	55100	高级木板	1	1201	8	300	987					
134013	1340	1	1015	硬木板	1000	1201	1	9999	986					
134014	1340	1	1008	冒险阅历	1000	1201	1	9999	985					
134100	1341	1	81101	月心珍珠（永久）	1	1202	50000	1	999		<size=40>83%</size>
134101	1341	1	5303401	海风旅者·霍普金斯	1	1202	30000	1	998		专属			
134102	1341	1	180041	美人鱼的梦境（纪念卡）	1	1202	3000	99	997		专属			
134103	1341	1	166004	传奇英雄装备宝箱	1	1202	3500	3	995					
134104	1341	1	160110	诅咒的龙骸	1	1202	2500	10	994					
134105	1341	1	55000	通用技能碎片	1	1202	1000	20	993					
134106	1341	1	52003	万能传奇信物	1	1202	1000	20	992					
134107	1341	1	55101	神秘金属	1	1202	120	50	991					
134108	1341	1	19003	传奇技能书	1	1202	100	100	990					
134109	1341	1	55100	高级木板	1	1202	40	300	989					
134110	1341	1	1015	硬木板	1000	1202	3	9999	988					
134111	1341	1	1200	深海藏宝图	1	1202	100	50	996					
134112	1341	1	11003	30分钟通用加速	1	1202	100	9999	987					
134004	1340	1	2077	随机传说折扣券	1	1201	4000	1	995					
134005	1340	1	2079	随机折扣券	1	1201	3000	1	994					
134200	1342	1	15145	梦幻王蝶（永久）	1	1122	5100	1	999		<size=40>-15%</size>			
134208	1342	1	81141	梦幻王蝶巢穴（永久）	1	1122	3600	1	998		<size=40>-10%</size>			
134201	1342	1	15146	梦幻王蝶航迹	1	1122	600	1	997					
134202	1342	1	151056	蝶翼荣光（家具）	1	1122	250	1	996					
134203	1342	1	166004	传奇英雄装备宝箱	1	1122	350	3	995					
134204	1342	1	55000	通用技能碎片	1	1122	100	50	994					
134205	1342	1	52003	万能传奇信物	1	1122	100	50	993					
134206	1342	1	19003	传奇技能书	1	1122	10	300	992					
134207	1342	1	11004	1小时通用加速	1	1122	8	300	991					
134209	1342	1	1142	驯养经验	3000	1122	1	30	990					
134210	1342	1	15085	冰淇淋大冒险号（永久）	1	1122	5100	1	1002		<size=40>-15%</size>			
134211	1342	1	81091	夏日甜筒小屋（永久）	1	1122	3600	1	1001		<size=40>-10%</size>			
134212	1342	1	15089	缤纷航迹	1	1122	600	1	1000					
