cs							cs	cs	cs	cs	cs	cs	cs	cs	cs	cs	cs	cs	cs	cs	cs	cs	cs	cs	c	cs	cs	c	c	c	c	c	c	c	cs	c	cs	c	c	cs	cs	cs	cs	cs	c	c	c	cs	cs	cs	cs	cs	cs
19027		格蕾丝-白雪公主·格蕾丝	主界面推		限购1次	39.99	113		16			0	10012			1	1d 00:00:00	1	6004	1	1				DK_Img_C_H_1_Lv2	6004	DK_Img_C_H_1_Lv2		DK_Role_Spine_1_Lv2	DK_img_gift_bg_67	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	双生苹果	购买即可获得格蕾丝皮肤-<color=#08E048>白雪公主·格蕾丝</color>，并解锁新技能<color=#08E048>【双生苹果】</color>\n<color=#08E048>【双生苹果】</color>：英雄上阵时，部队的最终伤害<color=#08E048>-50%</color>，受到致死伤害后，部队<color=#08E048>血量恢复</color>至战前状态，同时部队的最终伤害额外<color=#08E048>+50%</color>	2	2700%	1003	205							DK_img_Main_gift_bg_1						
19028		艾娃礼包购买	主界面推		限购1次	19.99	111		1			1	15900201	1	110802			1		1	1				DK_Img_C_H_50	110802	DK_Img_C_H_50		DK_Role_Spine_50	DK_img_gift_bg_13	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	艾娃	我心中已燃起了对未知世界的渴望，早已准备好去迎接每一个冒险	2	1000%	1100	204							DK_img_Main_gift_bg_1				2		
19029		艾娃礼包购买	主界面推		限购1次	49.99	116		1			1	15900202	5	19028			1	110803	1	1				DK_Img_C_H_50	110803	DK_Img_C_H_50		DK_Role_Spine_50	DK_img_gift_bg_13	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	艾娃豪礼	我心中已燃起了对未知世界的渴望，早已准备好去迎接每一个冒险	2	1600%	1100	205							DK_img_Main_gift_bg_1				2		
19030		艾娃礼包购买	主界面推		限购1次	49.99	116		1			1	15900202	5	19029			1	110803	1	1				DK_Img_C_H_50	110803	DK_Img_C_H_50		DK_Role_Spine_50	DK_img_gift_bg_13	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	艾娃豪礼	我心中已燃起了对未知世界的渴望，早已准备好去迎接每一个冒险	2	1600%	1100	205							DK_img_Main_gift_bg_1				2		
19031		艾娃礼包购买	主界面推		限购1次	49.99	116		1			1	15900202	5	19030			1	110803	1	1				DK_Img_C_H_50	110803	DK_Img_C_H_50		DK_Role_Spine_50	DK_img_gift_bg_13	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	艾娃豪礼	我心中已燃起了对未知世界的渴望，早已准备好去迎接每一个冒险	2	1600%	1100	205							DK_img_Main_gift_bg_1				2		
19032		艾娃礼包购买	主界面推		限购1次	49.99	116		1			1	15900202	5	19031			1	110803	1	1				DK_Img_C_H_50	110803	DK_Img_C_H_50		DK_Role_Spine_50	DK_img_gift_bg_13	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	艾娃豪礼	我心中已燃起了对未知世界的渴望，早已准备好去迎接每一个冒险	2	1600%	1100	205							DK_img_Main_gift_bg_1				2		
19033		艾娃礼包购买	主界面推		限购10次	99.99	115		1			1	15900203	5	19032			1	110803	10	1				DK_Img_C_H_50	110803	DK_Img_C_H_50		DK_Role_Spine_50	DK_img_gift_bg_13	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	艾娃至尊礼包	我心中已燃起了对未知世界的渴望，早已准备好去迎接每一个冒险	2	2000%	1100	205							DK_img_Main_gift_bg_1				2		
19034		猫女(诺瓦尔）礼包购买	主界面推		限购1次	99.99	115		1			1	15900301	1	110804			1		1	1				DK_Img_C_H_49	110804	DK_Img_C_H_49		DK_Role_Spine_49	DK_img_gift_bg_13	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	诺瓦尔	在夜幕降临时，我悄然现身.	2	200%	1100	205							DK_img_Main_gift_bg_1				2		
19035		猫女(诺瓦尔）礼包购买	主界面推		限购1次	49.99	116		1			1	15900302	9	1049			1	110805	1	1				DK_Img_C_H_49	110805	DK_Img_C_H_49		DK_Role_Spine_49	DK_img_gift_bg_13	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	诺瓦尔豪礼	在夜幕降临时，我悄然现身.	2	1600%	1100	205							DK_img_Main_gift_bg_1				2		
19036		猫女(诺瓦尔）礼包购买	主界面推		限购1次	49.99	116		1			1	15900302	5	19035			1	110805	1	1				DK_Img_C_H_49	110805	DK_Img_C_H_49		DK_Role_Spine_49	DK_img_gift_bg_13	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	诺瓦尔豪礼	在夜幕降临时，我悄然现身.	2	1600%	1100	205							DK_img_Main_gift_bg_1				2		
19037		猫女(诺瓦尔）礼包购买	主界面推		限购1次	49.99	116		1			1	15900302	5	19036			1	110805	1	1				DK_Img_C_H_49	110805	DK_Img_C_H_49		DK_Role_Spine_49	DK_img_gift_bg_13	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	诺瓦尔豪礼	在夜幕降临时，我悄然现身.	2	1600%	1100	205							DK_img_Main_gift_bg_1				2		
19038		猫女(诺瓦尔）礼包购买	主界面推		限购1次	49.99	116		1			1	15900302	5	19037			1	110805	1	1				DK_Img_C_H_49	110805	DK_Img_C_H_49		DK_Role_Spine_49	DK_img_gift_bg_13	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	诺瓦尔豪礼	在夜幕降临时，我悄然现身.	2	1600%	1100	205							DK_img_Main_gift_bg_1				2		
19039		猫女(诺瓦尔）礼包购买	主界面推		限购10次	99.99	115		1			1	15900303	5	19038			1	110805	10	1				DK_Img_C_H_49	110805	DK_Img_C_H_49		DK_Role_Spine_49	DK_img_gift_bg_13	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	诺瓦尔至尊礼包	在夜幕降临时，我悄然现身.	2	2000%	1100	205							DK_img_Main_gift_bg_1				2		
19040		克里斯塔尔专属技能书				19.99	111		15			1	15800006					1	6001	0	1						DK_icon_global_skillbook_08			DK_img_gift_bg_28	DK_img_gift_bg_8				克里斯塔尔专属技能书			1000%	848	204													
19041		克里斯塔尔-仙女教母·克里斯塔尔	主界面推		限购1次	39.99	113		1			1	10013	2	99			1	6024	1	1				DK_Img_C_H_8_Lv1	6004	DK_Img_C_H_8_Lv1		DK_Role_Spine_8_Lv1	DK_img_gift_bg_67	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	仙女教母	购买即可获得克里斯塔尔皮肤-<color=#08E048>仙女教母·克里斯塔尔</color>，并解锁新技能<color=#08E048>【南瓜马车】</color>\n<color=#08E048>【南瓜马车】</color>：消耗金币*1000，部队可在<color=#08E048>3秒</color>钟快速抵达战场。	2	2700%	1003	202							DK_img_Main_gift_bg_1						
19042		夜玫瑰专属技能书				19.99	111		15			1	15900400					1	6001	0	1						DK_icon_global_skillbook_42			DK_img_gift_bg_28	DK_img_gift_bg_8				夜玫瑰专属技能书			1000%	848	204													
19043		夜玫瑰-圣光·夜玫瑰	主界面推		限购1次	39.99	113		1			1	15900401	2	99			1	6004	1	1				DK_Img_C_H_42_Lv1	6004	DK_Img_C_H_42_Lv1		DK_Role_Spine_42_Lv1	DK_img_gift_bg_35	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	圣光夜玫瑰	购买即可获得夜玫瑰皮肤-<color=#08E048>圣光·夜玫瑰</color>，并解锁新技能：<color=#08E048>心灵魅惑</color>\n<color=#08E048>心灵魅惑</color>：纯洁之光的魅惑效果，<color=#08E048>使敌方首位英雄无法发动技能</color>	2	2700%	1004	205							DK_img_Main_gift_bg_1						
19044		武道大会失败-夜玫瑰-礼包1	主界面推		限购1次	19.99	111		1			1	15900402					1	6004	1	1				DK_Img_C_H_42	6004	DK_Img_C_H_42		DK_Role_Spine_42	DK_img_gift_bg_12	DK_img_gift_bg_tc_6	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	夜玫瑰晋升挑战	接受圣光的洗礼，完成最终的晋升	2	1100%	997	204							DK_img_Main_gift_bg_1						
19045		武道大会失败-夜玫瑰-礼包2	主界面推		限购1次	49.99	116		1			1	15900403					1	6004	1	1				DK_Img_C_H_42	6004	DK_Img_C_H_42		DK_Role_Spine_42	DK_img_gift_bg_13	DK_img_gift_bg_tc_7	DK_img_gift_bg_tc_2	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	夜玫瑰晋升挑战	接受圣光的洗礼，完成最终的晋升	2	1200%	998	205							DK_img_Main_gift_bg_1						
19046		武道大会失败-夜玫瑰-礼包3	主界面推		限购1次	99.99	115		1			1	15900404					1	6004	1	1				DK_Img_C_H_42	6004	DK_Img_C_H_42		DK_Role_Spine_42	DK_img_gift_bg_13	DK_img_gift_bg_tc_7	DK_img_gift_bg_tc_2	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	夜玫瑰晋升挑战	接受圣光的洗礼，完成最终的晋升	2	1400%	999	205							DK_img_Main_gift_bg_1						
19047		柳柳-自由·柳柳	主界面推		限购1次	99.99	115		1			1	10014	12	293011014	1	8d 00:00:00	1	6024	1	1				DK_Img_C_H_14_Lv2	6024	DK_Img_C_H_14_Lv2		DK_Role_Spine_14_Lv2	DK_img_gift_bg_67	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	瞬移	购买即可获得柳柳皮肤-<color=#08E048>自由·柳柳</color>，并解锁新技能：<color=#08E048>【瞬移】</color>\n<color=#08E048>【瞬移】</color>：消耗金币*500000，可进行一次<color=#08E048>自由迁城</color>。	2	1600%	1003	205							DK_img_Main_gift_bg_1						
19048		圣裁之心失败-维奥莱特-礼包1	主界面推		限购1次	19.99	111		1			1	15900502					1	6004	1	1				DK_Img_C_H_28	6004	DK_Img_C_H_28		DK_Role_Spine_28	DK_img_gift_bg_12	DK_img_gift_bg_tc_6	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	圣裁之心	审判来自信仰之心！	2	1100%	997	204							DK_img_Main_gift_bg_1						
19049		圣裁之心失败-维奥莱特-礼包2	主界面推		限购1次	49.99	116		1			1	15900503					1	6004	1	1				DK_Img_C_H_28	6004	DK_Img_C_H_28		DK_Role_Spine_28	DK_img_gift_bg_13	DK_img_gift_bg_tc_7	DK_img_gift_bg_tc_2	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	圣裁之心	审判来自信仰之心！	2	1200%	998	205							DK_img_Main_gift_bg_1						
19050		圣裁之心失败-维奥莱特-礼包3	主界面推		限购1次	99.99	115		1			1	15900504					1	6004	1	1				DK_Img_C_H_28	6004	DK_Img_C_H_28		DK_Role_Spine_28	DK_img_gift_bg_13	DK_img_gift_bg_tc_7	DK_img_gift_bg_tc_2	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	圣裁之心	审判来自信仰之心！	2	1400%	999	205							DK_img_Main_gift_bg_1						
19051		哈珀专属技能书				19.99	111		15			1	15800007					1	6001	0	1						DK_icon_global_skillbook_11			DK_img_gift_bg_28	DK_img_gift_bg_8				凌霜专属技能书			1000%	848	204													
19052		格蕾丝-仙蒂公主·格蕾丝	营救活动推		限购1次	9.99	107		16			1	15900629					1	6004	1	1				DK_Img_C_H_1_Lv1	5201	DK_Img_C_H_1_Lv1		DK_Role_Spine_1_Lv1	DK_img_gift_bg_67	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	水晶鞋光辉	购买即可获得格蕾丝皮肤-<color=#08E048>仙蒂公主·格蕾丝</color>，并解锁新技能：<color=#08E048>【水晶鞋光辉】</color>\n<color=#08E048>【水晶鞋光辉】</color>：消耗自身50%金币，每消耗<color=#08E048>金币*1</color>，本场战斗水手攻击力+<color=#08E048>0.1</color>，持续整场战斗。	0	7000%	1003	203							DK_img_Main_gift_bg_1						
19053		格蕾丝-白雪公主·格蕾丝	营救活动推		限购1次	39.99	113		16			1	10012					1	6004	1	1				DK_Img_C_H_1_Lv2	5201	DK_Img_C_H_1_Lv2		DK_Role_Spine_1_Lv2	DK_img_gift_bg_67	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	双生苹果	购买即可获得格蕾丝皮肤-<color=#08E048>白雪公主·格蕾丝</color>，并解锁新技能<color=#08E048>【双生苹果】</color>\n<color=#08E048>【双生苹果】</color>：英雄上阵时，部队的最终伤害<color=#08E048>-50%</color>，受到致死伤害后，部队<color=#08E048>血量恢复</color>至战前状态，同时部队的最终伤害额外<color=#08E048>+50%</color>	0	2700%	1003	205							DK_img_Main_gift_bg_1						
19054		技能冷却礼包-一击必杀			限购1次	29.99	112		24			1						1	6004	1	1														技能冷却礼包																		
19055		武道大会失败-艾琳娜-礼包1	主界面推		限购1次	19.99	111		1			1	15900700					1	6004	1	1				DK_Img_C_H_47	6004	DK_Img_C_H_47		DK_Role_Spine_47	DK_img_gift_bg_12	DK_img_gift_bg_tc_6	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	艾琳娜狩猎比拼	寻找狼魂，完成最终的融合晋升	2	1100%	997	204							DK_img_Main_gift_bg_1						
19056		武道大会失败-艾琳娜-礼包2	主界面推		限购1次	49.99	116		1			1	15900701					1	6004	1	1				DK_Img_C_H_47	6004	DK_Img_C_H_47		DK_Role_Spine_47	DK_img_gift_bg_13	DK_img_gift_bg_tc_7	DK_img_gift_bg_tc_2	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	艾琳娜狩猎比拼	寻找狼魂，完成最终的融合晋升	2	1200%	998	205							DK_img_Main_gift_bg_1						
19057		武道大会失败-艾琳娜-礼包3	主界面推		限购1次	99.99	115		1			1	15900702					1	6004	1	1				DK_Img_C_H_47	6004	DK_Img_C_H_47		DK_Role_Spine_47	DK_img_gift_bg_13	DK_img_gift_bg_tc_7	DK_img_gift_bg_tc_2	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	艾琳娜狩猎比拼	寻找狼魂，完成最终的融合晋升	2	1400%	999	205							DK_img_Main_gift_bg_1						
19058		艾琳娜-狼魂之主·艾琳娜	主界面推		限购1次	39.99	113		1			1	15900703	2	99			1	6004	1	1				DK_Img_C_H_47_Lv1	6004	DK_Img_C_H_47_Lv1		DK_Role_Spine_47_Lv1	DK_img_gift_bg_35	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	狼魂之主·艾琳娜	购买即可获得艾琳娜皮肤-<color=#08E048>狼魂之主·艾琳娜</color>，并解锁新技能：<color=#08E048>终极狩猎</color>\n<color=#08E048>终极狩猎</color>：将敌方狩猎，<color=#08E048>敌方主城将强制迁移至其他地方</color>	2	2700%	1004	205							DK_img_Main_gift_bg_1						
19059		艾琳娜专属技能书				19.99	111		15			1	15900704					1	6001	0	1						DK_icon_global_skillbook_47			DK_img_gift_bg_28	DK_img_gift_bg_8				艾琳娜专属技能书			1000%	848	204													
19060		艾丽丝-战神·艾丽丝	主界面推		限购1次	39.99	113		1			1	10015	1	6038			1		1	1				DK_Img_C_H_16_Lv1	6024	DK_Img_C_H_16_Lv1		DK_Role_Spine_16_Lv1	DK_img_gift_bg_35	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	战神·艾丽丝	购买即可获得艾丽丝皮肤-<color=#08E048>战胜艾丽丝</color>，并解锁新技能：<color=#08E048>【震撼】</color>\n<color=#08E048>【震撼】</color>：攻击敌方玩家岛屿胜利后，可在敌方岛屿上插一柄斧头以震慑敌方，敌方将在<color=#08E048>2</color>小时内无法对你的岛屿发起攻击。	2	2700%	1004	205							DK_img_Main_gift_bg_1						
19061		艾丽丝专属技能书				19.99	111		15			1	15800008					1	6001	0	1						DK_icon_global_skillbook_16			DK_img_gift_bg_28	DK_img_gift_bg_8				艾丽丝专属技能书			1000%	848	204													
19062		技能冷却礼包-商会互惠条约			限购1次	29.99	112		24			1						1	6004	1	1														技能冷却礼包																		
19063		兔女郎专属技能书				19.99	111		15			1	15800009					1	6001	0	1						DK_icon_global_skillbook_34			DK_img_gift_bg_28	DK_img_gift_bg_8				霍普金斯专属技能书			1000%	848	204													
19064		天下第一武道冠军之路-凌霜	主界面推	活动存在期间	限购1次	14.99	109		1			1	15900731					1	6004	1	1				DK_Img_C_H_43	6004	DK_Img_C_H_43		DK_Role_Spine_43	DK_img_gift_bg_12	DK_img_gift_bg_tc_6	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	武道冠军之路	武道精神，永不服输。	2	1100%	997	204							DK_img_Main_gift_bg_1						
19065		冠军之路行动次数				29.99	112		15			1	15900732					1	6001	0	1						DK_icon_global_Belt			DK_img_gift_bg_28	DK_img_gift_bg_8				冠军之路行动次数			1000%	848	204													
19066		皮鞭妹礼包购买	主界面推		限购1次	19.99	111		1			1	15900751	1	110806			1		1	1				DK_Img_C_H_25	110806	DK_Img_C_H_25		DK_Role_Spine_25	DK_img_gift_bg_13	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	尼西斯	想感受我手中的鞭子，释放你心中的欲望吗？	2	1000%	1100	204							DK_img_Main_gift_bg_1				3		
19067		皮鞭妹礼包购买	主界面推		限购1次	49.99	116		1			1	15900752	5	19066			1	110807	1	1				DK_Img_C_H_25	110807	DK_Img_C_H_25		DK_Role_Spine_25	DK_img_gift_bg_13	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	尼西斯豪礼1	想感受我手中的鞭子，释放你心中的欲望吗？	2	1600%	1100	205							DK_img_Main_gift_bg_1				3		
19068		皮鞭妹礼包购买	主界面推		限购1次	49.99	116		1			1	15900752	5	19067			1	110807	1	1				DK_Img_C_H_25	110807	DK_Img_C_H_25		DK_Role_Spine_25	DK_img_gift_bg_13	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	尼西斯豪礼2	想感受我手中的鞭子，释放你心中的欲望吗？	2	1600%	1100	205							DK_img_Main_gift_bg_1				3		
19069		皮鞭妹礼包购买	主界面推		限购1次	49.99	116		1			1	15900752	5	19068			1	110807	1	1				DK_Img_C_H_25	110807	DK_Img_C_H_25		DK_Role_Spine_25	DK_img_gift_bg_13	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	尼西斯豪礼3	想感受我手中的鞭子，释放你心中的欲望吗？	2	1600%	1100	205							DK_img_Main_gift_bg_1				3		
19070		皮鞭妹礼包购买	主界面推		限购1次	49.99	116		1			1	15900752	5	19069			1	110807	1	1				DK_Img_C_H_25	110807	DK_Img_C_H_25		DK_Role_Spine_25	DK_img_gift_bg_13	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	尼西斯豪礼4	想感受我手中的鞭子，释放你心中的欲望吗？	2	1600%	1100	205							DK_img_Main_gift_bg_1				3		
19071		皮鞭妹礼包购买	主界面推		限购10次	99.99	115		1			1	15900753	5	19070			1	110807	10	1				DK_Img_C_H_25	110807	DK_Img_C_H_25		DK_Role_Spine_25	DK_img_gift_bg_13	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	尼西斯至尊礼包	想感受我手中的鞭子，释放你心中的欲望吗？	2	2000%	1100	205							DK_img_Main_gift_bg_1				3		
19072		小丑女礼包购买	主界面推		限购1次	99.99	115		1			1	15900761	1	110808			1		1	1				DK_Img_C_H_55	110808	DK_Img_C_H_55		DK_Role_Spine_55	DK_img_gift_bg_13	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	诺娃	准备好迎接混乱的笑声了吗？让我来点燃这场狂欢！	2	1000%	1100	205							DK_img_Main_gift_bg_1				3		
19073		小丑女礼包购买	主界面推		限购1次	49.99	116		1			1	15900762	9	1055			1	110809	1	1				DK_Img_C_H_55	110809	DK_Img_C_H_55		DK_Role_Spine_55	DK_img_gift_bg_13	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	诺娃豪礼1	准备好迎接混乱的笑声了吗？让我来点燃这场狂欢！	2	1600%	1100	205							DK_img_Main_gift_bg_1				3		
19074		小丑女礼包购买	主界面推		限购1次	49.99	116		1			1	15900762	5	19073			1	110809	1	1				DK_Img_C_H_55	110809	DK_Img_C_H_55		DK_Role_Spine_55	DK_img_gift_bg_13	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	诺娃豪礼2	准备好迎接混乱的笑声了吗？让我来点燃这场狂欢！	2	1600%	1100	205							DK_img_Main_gift_bg_1				3		
19075		小丑女礼包购买	主界面推		限购1次	49.99	116		1			1	15900762	5	19074			1	110809	1	1				DK_Img_C_H_55	110809	DK_Img_C_H_55		DK_Role_Spine_55	DK_img_gift_bg_13	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	诺娃豪礼3	准备好迎接混乱的笑声了吗？让我来点燃这场狂欢！	2	1600%	1100	205							DK_img_Main_gift_bg_1				3		
19076		小丑女礼包购买	主界面推		限购1次	49.99	116		1			1	15900762	5	19075			1	110809	1	1				DK_Img_C_H_55	110809	DK_Img_C_H_55		DK_Role_Spine_55	DK_img_gift_bg_13	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	诺娃豪礼4	准备好迎接混乱的笑声了吗？让我来点燃这场狂欢！	2	1600%	1100	205							DK_img_Main_gift_bg_1				3		
19077		小丑女礼包购买	主界面推		限购10次	99.99	115		1			1	15900763	5	19076			1	110809	10	1				DK_Img_C_H_55	110809	DK_Img_C_H_55		DK_Role_Spine_55	DK_img_gift_bg_13	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	诺娃至尊礼包	准备好迎接混乱的笑声了吗？让我来点燃这场狂欢！	2	2000%	1100	205							DK_img_Main_gift_bg_1				3		
19078		海风旅者·霍普金斯-常驻-道具获取礼包			限购1次	99.99	115		15			1	19078	5	2025003|2025004			1	6041	1	7						DK_Img_C_H_34_Skin03			DK_img_gift_bg_35	DK_img_gift_bg_tc_8				海风旅者·霍普金斯			2700%	1004	205													
19079		金海凭证快捷购买				19.99	111		15			1	15900805					1	6001	0	1						DK_icon_global_StarRating_1			DK_img_gift_bg_28	DK_img_gift_bg_8				金海凭证			1200%	999	204													
19080		金海凭证功能开启礼包	主界面推		限购1次	19.99	111		1			1	15900806	2	22			1	6014	1	22				DK_icon_global_StarRating_1	6014	DK_icon_global_StarRating_1	DK_img_gift_bg_66_1		DK_img_gift_bg_12	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	金海凭证礼包	城镇迎来了新的变化，快去参加金海商会的星级评定吧！	2	2600%	1100	204							DK_img_Main_gift_bg_1						
19081		金海凭证功能开启礼包	主界面推		限购1次	49.99	116		1			1	15900807	5	19080			1	6014	1	22				DK_icon_global_StarRating_1	6014	DK_icon_global_StarRating_1	DK_img_gift_bg_66_1		DK_img_gift_bg_12	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	金海凭证尊享	城镇迎来了新的变化，快去参加金海商会的星级评定吧！	2	3300%	1100	205							DK_img_Main_gift_bg_1						
19082		金海凭证功能开启礼包	主界面推		限购3次	99.99	115		1			1	15900808	5	19081			1	6014	3	22				DK_icon_global_StarRating_1	6014	DK_icon_global_StarRating_1	DK_img_gift_bg_66_1		DK_img_gift_bg_12	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	金海凭证超值好礼	城镇迎来了新的变化，快去参加金海商会的星级评定吧！	2	4200%	1100	205							DK_img_Main_gift_bg_1						
19083		金海银元礼包	主界面推		限购3次	19.99	111		1			1	15900906	12	263011421			1	6014	3	22				DK_icon_global_StarRating_1	6014	DK_icon_global_StarRating_1	DK_img_gift_bg_66_1		DK_img_gift_bg_12	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	金海银元礼包	提升士兵武器和护甲提高单兵作战能力！	2	2600%	1100	204							DK_img_Main_gift_bg_1						
19084		阿迪娜-采集·阿迪娜	主界面推		限购1次	39.99	113		1			1	10016	1	6043			1		1	1				DK_Img_C_H_22	6043	DK_Img_C_H_22		DK_Role_Spine_22_Lv1	DK_img_gift_bg_35	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	刹那丰收	购买即可获得阿迪娜皮肤-<color=#08E048>丰收女神·阿迪娜</color>，并解锁新技能：<color=#08E048>【刹那丰收】</color>\n<color=#08E048>【刹那丰收】</color>：部队能够<color=#08E048>立即采集完成</color>，满载而归！	2	2700%	1101	204							DK_img_Main_gift_bg_1						
19085		阿迪娜专属技能书				19.99	111		15			1	10017					1	6001	0	1						DK_icon_global_skillbook_16			DK_img_gift_bg_28	DK_img_gift_bg_8				阿迪娜专属技能书			1000%	848	204													
19086		金海银元快捷购买				49.99	116		15			1	15900907					1	6001	0	22						DK_icon_global_SilverDollar			DK_img_gift_bg_28	DK_img_gift_bg_8				金海银元			1200%	999	205													
19087		金海银元快捷购买				99.99	115		15			1	15900908					1	6001	0	22						DK_icon_global_SilverDollar			DK_img_gift_bg_28	DK_img_gift_bg_8				金海银元			1200%	999	205													
