cs	cs		c	cs	cs	cs	cs	cs	cs	cs	c	cs	cs	cs	cs	cs	cs	cs	cs	c	c	c	c	c	cs	cs	cs	c	cs	cs	cs	cs	cs	cs							
10216	油炸小海贝	黎明神偷之触	贝壳也能吃！	10		0						1	226000	12	10216	1350	3000	600	3290	DK_friedfood12			DK_Bg_CM_Item0																		
10217	威士忌	护胫甲	醇厚醉人，香气四溢，带有一丝丝的甜味，对口感有着独特的追求。	10		0						1	50	1	10217	5	15	5	15	DK_alcohol1			DK_Bg_CM_Item0																		
10218	水手伴侣	长靴	口味独特，集合了多种风味，就像水手的忠实伴侣一样，伴你去往任何角落。	10		0						1	170	2	10218	10	25	5	40	DK_alcohol2			DK_Bg_CM_Item0																		
10219	海滨清风	钢铁护胫靴	口感清新，酒香伴随着海风飘荡，仿佛让人置身于海滨的自然美景中。	10		0						1	500	3	10219	20	45	10	70	DK_alcohol3			DK_Bg_CM_Item0																		
10220	油灯	加强护胫靴	他的酿造过程宛如点燃一盏油灯，温暖而明亮，为你的夜晚增添一份宁静。	10		0						1	1550	4	10220	35	80	15	135	DK_alcohol4			DK_Bg_CM_Item0																		
10221	决斗者的勇气	骑士铁靴	酒体浓烈，如同决斗者的勇气，每一口都能让人心潮澎湃。	10		0						1	4000	5	10221	70	150	30	295	DK_alcohol5			DK_Bg_CM_Item0																		
10222	爆辣伏特加	圣骑士靴子	酒体具有独特的辛辣口感，仿佛是口舌上的一场热辣的爆炸，让人难以忘怀。	10		0						1	11000	6	10222	115	250	50	465	DK_alcohol6			DK_Bg_CM_Item0																		
10223	老水手	武士靴	这款酒的风味独特，仿佛带你穿越大海，体验老水手的航海生活。	10		0						1	23000	7	10223	190	420	85	620	DK_alcohol7			DK_Bg_CM_Item0																		
10224	岩浆瓶	将军护胫靴	酒体醇厚，口感强烈如同熔岩，让你体验一种独特的感触。	10		0						1	45300	8	10224	310	690	140	860	DK_alcohol8			DK_Bg_CM_Item0																		
10225	地狱招待	狂战士重靴	这款酒的酒体烈烈，如同一场地狱般的宴会，令人热血沸腾。	10		0						1	71500	9	10225	390	865	175	1065	DK_alcohol9			DK_Bg_CM_Item0																		
10226	清油	霸王护胫	口味清新，如同流淌的清油，给你带来一份宁静的感触。	10		0						1	101600	10	10226	815	1815	365	2335	DK_alcohol10			DK_Bg_CM_Item0																		
10227	焦油	天钢之靴	酒体如同焦油般深邃，味道浓烈，富有厚重的感触。	10		0						1	146000	11	10227	990	2195	440	2790	DK_alcohol11			DK_Bg_CM_Item0																		
10228	幽冥紫	朱红守卫护胫靴	酒精浓度高到让人分不清是不是毒药	10		0						1	220000	12	10228	1390	3090	620	3290	DK_alcohol12			DK_Bg_CM_Item0																		
10229	香肠	皮革靴子	口感鲜美，肉质饱满，独特的烟熏味道让人回味无穷。	10		0						1	420	1	10229	5	15	5	15	DK_smokedfood1			DK_Bg_CM_Item0																		
10230	培根	人字拖	肥瘦相间，烟熏香气浓厚，尽享肉食的美妙滋味。	10		0						1	565	2	10230	10	25	5	40	DK_smokedfood2			DK_Bg_CM_Item0																		
10231	怪兽火腿	软鞋	质地紧实，味道鲜美丰富，如同怪兽的力量一般，值得品尝。	10		0						1	895	3	10231	20	45	10	70	DK_smokedfood3			DK_Bg_CM_Item0																		
10232	紫犀牛熏肉	刀客鞋	独特的烟熏工艺，赋予肉质香醇细腻的口感，醇厚如紫犀牛般坚韧与力量。	10		0						1	2345	4	10232	40	90	20	165	DK_smokedfood4			DK_Bg_CM_Item0																		
10233	洞穴烤肠	精灵鞋	在洞穴中烤制的香肠，带有一种土壤的香味弥漫，口感饱满且滋味醇厚。	10		0						1	5535	5	10233	65	140	30	260	DK_smokedfood5			DK_Bg_CM_Item0																		
10234	风干海兽干	野性鞋	海兽肉经风干形成肉质紧实的风干肉，口感坚实而丰富，入口即化。	10		0						1	14100	6	10234	105	235	45	420	DK_smokedfood6			DK_Bg_CM_Item0																		
10235	果浆熏肉	忍者足袋	在水果浆汁中腌制过后再烟熏的肉，带有果香和烟燻的特殊口感。	10		0						1	26215	7	10235	175	385	75	565	DK_smokedfood7			DK_Bg_CM_Item0																		
10236	风化鳄鱼头	追风靴	经风化后的鳄鱼头，保存了鳄鱼头特有的口感，别具一格。	10		0						1	51300	8	10236	295	655	130	860	DK_smokedfood8			DK_Bg_CM_Item0																		
10237	海兽尾肉	龙兽皮靴子	海兽尾部的肉质鲜嫩，味道醇厚，是极佳的海鲜美食。	10		0						1	80550	9	10237	395	880	175	1065	DK_smokedfood9			DK_Bg_CM_Item0																		
10238	黄金肉干	海斗士靴子	经过特殊工艺烘干的肉干，颜色金黄，咬下去感觉酥香。	10		0						1	114000	10	10238	805	1790	360	2335	DK_smokedfood10			DK_Bg_CM_Item0																		
10239	烟熏海兽尾	永世黄昏之靴	这一小段尾巴尖是勇者从巨兽身上割下来的	10		0						1	165100	11	10239	1025	2280	455	2790	DK_smokedfood11			DK_Bg_CM_Item0																		
10240	熏肉礼盒	黎明神偷之路	每一片熏肉的形状大小都一模一样	10		0						1	254850	12	10240	1375	3060	610	3290	DK_smokedfood12			DK_Bg_CM_Item0																		
10241	树莓果酱	木盾	具有丰富的树莓香味，甜中带酸，口感细腻，可作为各种烹饪的美味配料。	10		0						1	105	1	10241	10	20	5	25	DK_jam1			DK_Bg_CM_Item0																		
10242	蜜罐	重盾	香甜浓郁的蜂蜜密封在罐中，滋润且充满营养，是理想的天然甜品。	10		0						1	225	2	10242	20	40	10	70	DK_jam2			DK_Bg_CM_Item0																		
10243	爆裂树果	橡木盾	这种特殊的果实在成熟时会轻轻裂开，散发出浓郁的甜香，富有爽口的口感。	10		0						1	550	3	10243	25	60	10	110	DK_jam3			DK_Bg_CM_Item0																		
10244	星星果酱	钢铁盾	星星形状的果实酿制出的果酱，独特的香甜口感仿佛在口中绽放璀璨星光。	10		0						1	1700	4	10244	45	100	20	190	DK_jam4			DK_Bg_CM_Item0																		
10245	熔炉果酱	尖形盾	色泽如熔炉般鲜艳，热烈如火的口感，带有独特的果香，让人难以忘怀。	10		0						1	4200	5	10245	75	165	35	295	DK_jam5			DK_Bg_CM_Item0																		
10246	彩虹果酱	秘银木盾	色彩斑斓如彩虹，口感甜蜜多样，如同一次舌尖上的色彩盛宴。	10		0						1	11500	6	10246	110	240	50	420	DK_jam6			DK_Bg_CM_Item0																		
10247	黄昏果酱	降龙盾	色泽如黄昏般温暖，口感醇厚，像是一场宁静的黄昏晚宴。	10		0						1	23500	7	10247	185	410	80	620	DK_jam7			DK_Bg_CM_Item0																		
10248	星空果酱	祖先图腾	很多人用来画画，但里面的星星会消失	10		0						1	46150	8	10248	310	690	140	860	DK_jam8			DK_Bg_CM_Item0																		
10249	热情果酱瓶	飞人帕西斯盾	水手总喜欢带一瓶出海，可以健康地提升体力	10		0						1	72700	9	10249	395	880	175	1065	DK_jam9			DK_Bg_CM_Item0																		
10250	熔岩果酱	金鬃守卫	如果觉得烫，那一定是幻觉	10		0						1	103350	10	10250	810	1795	360	2335	DK_jam10			DK_Bg_CM_Item0																		
10251	英雄辣果酱	大胡典范	带上一瓶去爬最寒冷的雪山	10		0						1	148650	11	10251	1005	2235	445	2790	DK_jam11			DK_Bg_CM_Item0																		
10252	阳光果酱	深渊制品	沙滩的味道，只有亲自品尝才知道	10		0						1	224300	12	10252	1375	3060	610	3290	DK_jam12			DK_Bg_CM_Item0																		
10253	黑咖啡	钢铁戒指	香醇浓郁，口感纯正，具有天然的咖啡因振奋特性，为咖啡愛好者提供无与伦比的滋味。	10		0						1	230	1	10253	20	45	10	70	DK_coffee1			DK_Bg_CM_Item0																		
10254	卡布奇诺	合金戒指	绵腻的奶泡与浓郁的咖啡完美结合，滋味丰富，是许多人的日常甜点之选。	10		0						1	355	2	10254	25	60	10	110	DK_coffee2			DK_Bg_CM_Item0																		
10255	快乐黄金	红宝石戒指	这款咖啡带有浓厚的焦糖香气和微妙的果味，给你带来愉快的咖啡体验。	10		0						1	685	3	10255	45	100	20	190	DK_coffee3			DK_Bg_CM_Item0																		
10256	平静幻想	银戒	口感柔和而平静，充满幻想的世界在其中散发开来，带你进入一个异想天开的咖啡世界。	10		0						1	1925	4	10256	65	140	30	295	DK_coffee4			DK_Bg_CM_Item0																		
10257	皇家香氛	贵族戒指	一款带有皇家华贵风范的咖啡，香气浓郁而尊贵，尽显高雅品位。	10		0						1	4715	5	10257	90	195	40	375	DK_coffee5			DK_Bg_CM_Item0																		
10258	静谧	骑士印章	这种咖啡有如宁静的夜晚，口味温和而深邃，让人感觉心神宁静。	10		0						1	12450	6	10258	115	250	50	465	DK_coffee6			DK_Bg_CM_Item0																		
10259	心跳回响	绿橄榄石	喝下这款咖啡就像心跳的回响，强烈的口感让人心跳加速，兴奋不已。	10		0						1	24550	7	10259	175	390	80	620	DK_coffee7			DK_Bg_CM_Item0																		
10260	冰舞	硫磺线圈	在热咖啡中插入一根冰柱慢慢融化	10		0						1	48150	8	10260	305	675	135	925	DK_coffee8			DK_Bg_CM_Item0																		
10261	独家苦涩	优雅族裔之戒	从幽暗之地采集的咖啡豆	10		0						1	75750	9	10261	370	825	165	1065	DK_coffee9			DK_Bg_CM_Item0																		
10262	上将咖啡	北极星	海军上将享受的特供咖啡豆	10		0						1	107500	10	10262	815	1815	365	2335	DK_coffee10			DK_Bg_CM_Item0																		
10263	幽灵香气	卢比孔锢戒	幽灵咖啡豆在某些地方会用来跟鬼魂交易	10		0						1	155100	11	10263	1045	2320	465	2790	DK_coffee11			DK_Bg_CM_Item0																		
10264	小魔怪苦咖啡	完美珠戒	杯子的表情会体现这杯咖啡有多苦	10		0						1	236000	12	10264	1365	3030	605	3290	DK_coffee12			DK_Bg_CM_Item0																		
10265	马天尼	纪念品	经典的鸡尾酒，干邑和苦艾酒的完美融合，通透冽爽，典雅而尖锐。	10		0						1	195	1	10265	20	40	10	55	DK_cocktail1			DK_Bg_CM_Item0																		
10266	海滨假日	玉垂垂饰	带有浓烈的热带风情，混合各种果汁的酒精饮料，象征着夏日的海滩时光。	10		0						1	320	2	10266	25	55	10	90	DK_cocktail2			DK_Bg_CM_Item0																		
10267	热辣浅滩	钢铁链	带有刺激辣味的鸡尾酒，如浅滩的热浪，刺激你的味觉感官。	10		0						1	645	3	10267	40	85	15	135	DK_cocktail3			DK_Bg_CM_Item0																		
10268	血契	太阳垂饰	深红色的液体中，隐藏着浓郁的悲伤和墨色，如同签订了一个神秘的契约。	10		0						1	1850	4	10268	60	130	25	225	DK_cocktail4			DK_Bg_CM_Item0																		
10269	凤凰火	贵族项链	强烈如火的鸡尾酒，犹如凤凰涅磐，口感热烈且激动人心。	10		0						1	4570	5	10269	75	165	35	295	DK_cocktail5			DK_Bg_CM_Item0																		
10270	沉醉银河	神圣标志	银河色泽的鸡尾酒，味道深邃如同遥远的宇宙，感受到星河般的浪漫。	10		0						1	12200	6	10270	125	280	55	420	DK_cocktail6			DK_Bg_CM_Item0																		
10271	琼脂	钛金环	颜色晶莹，口感甜美的鸡尾酒，如同珍珠般璀璨，醉人心扉。	10		0						1	24250	7	10271	200	445	90	675	DK_cocktail7			DK_Bg_CM_Item0																		
10272	鲜血炸弹	勾玉项链	红色如血的鸡尾酒，口感激烈且强烈，像一颗触即可爆的炸弹。	10		0						1	47600	8	10272	315	700	140	860	DK_cocktail8			DK_Bg_CM_Item0																		
10273	热浪风暴	忘川护符	这款鸡尾酒就像一场热浪风暴，口感炽热，尽现火热情感。	10		0						1	74900	9	10273	385	860	170	1065	DK_cocktail9			DK_Bg_CM_Item0																		
10274	黄金后宫	全能项链	真实的黄金，要看好客人别把杯子拿走	10		0						1	106300	10	10274	810	1795	360	2335	DK_cocktail10			DK_Bg_CM_Item0																		
10275	岩浆舞台	神耀项链	聚会中总会有一杯是真岩浆	10		0						1	153200	11	10275	1095	2435	485	2790	DK_cocktail11			DK_Bg_CM_Item0																		
10276	内窥之眼	提泰妮娅的纪念品	将整颗眼珠吞下，可以洞察自己的身体状况	10		0						1	233000	12	10276	1325	2940	590	3465	DK_cocktail12			DK_Bg_CM_Item0																		
10277	山竹沙拉	培根鸡蛋	口感酸甜的山竹与新鲜蔬果相融合，带给你水果的清新和沙拉的口感。	10		0						1	740	3	10277	40	85	15	165	DK_shield3			DK_Bg_CM_Item0																		
10278	鱼肉粉丝	刈包	细嫩的鱼肉搭配有嚼劲的粉丝，加入丰富的蔬菜，为你带来美味与饱腹感。	10		0						1	2035	4	10278	50	115	25	225	DK_shield4			DK_Bg_CM_Item0																		
10279	红宝石果沙拉	肉汁芝士薯条	红宝石般的水果点缀在沙拉中，绽放出鲜艳的色彩和美妙的口感。	10		0						1	4940	5	10279	75	170	35	335	DK_shield5			DK_Bg_CM_Item0																		
10280	宝橙沙拉	芝士汉堡	橙汁的甜蜜和多种宝贵水果的鲜美相融合，让你品尝到奇妙的果味组合。	10		0						1	12935	6	10280	115	260	50	465	DK_shield6			DK_Bg_CM_Item0																		
10281	三文鱼金字塔	吞拿鱼波奇碗	新鲜的三文鱼堆叠成金字塔状，搭配多种蔬菜，让你享受到海鲜的鲜美。	10		0						1	25000	7	10281	200	445	90	620	DK_shield7			DK_Bg_CM_Item0																		
10282	蓝宝石果沙拉	寿司	蓝宝石般的水果点缀在沙拉中，带来神秘的色彩和独特的口感。	10		0						1	49000	8	10282	310	690	140	860	DK_shield8			DK_Bg_CM_Item0																		
10283	龙鱼车轮沙拉	超辣咖喱	龙鱼的鲜嫩肉质切成车轮形状，搭配多种蔬菜，为你带来独特的口感和视觉冲击。	10		0						1	77050	9	10283	390	870	175	1140	DK_shield9			DK_Bg_CM_Item0																		
10284	精灵墨鱼籽	素食烤串	精致的墨鱼籽点缀在沙拉中，散发出精灵般的光泽和口感。	10		0						1	109250	10	10284	845	1880	375	2480	DK_shield10			DK_Bg_CM_Item0																		
10285	龙心果沙拉	豪华拉面	龙心果的甜蜜与多种蔬菜相融合，带给你酸甜的口感和令人惊艳的色彩。	10		0						1	157800	11	10285	1045	2320	465	2790	DK_shield11			DK_Bg_CM_Item0																		
10286	大麦青汁	胡利胡利碳烤鸡	新鲜的大麦青汁与多种蔬菜搭配，为你提供清爽健康的口感和营养补给。	10		0						1	241300	12	10286	1465	3260	650	3290	DK_shield12			DK_Bg_CM_Item0																		
11001	1分钟通用加速		小镇内任意1个队列的时间减少1分钟	5	1	0	7	60	1			0								DK_Icon_speedup_normal			DK_Bg_CM_Item1	1m				799							13.3333						
11002	5分钟通用加速		小镇内任意1个队列的时间减少5分钟	5	1	0	7	300	1	401		0								DK_Icon_speedup_normal			DK_Bg_CM_Item1	5m				798							66.6666						
11003	30分钟通用加速		小镇内任意1个队列的时间减少30分钟	5	1	0	7	1800	1			0								DK_Icon_speedup_normal			DK_Bg_CM_Item2	30m				797							400						
11004	1小时通用加速		小镇内任意1个队列的时间减少1小时	5	1	0	7	3600	1	401		0								DK_Icon_speedup_normal			DK_Bg_CM_Item3	1h				796							800						
11005	3小时通用加速		小镇内任意1个队列的时间减少3小时	5	1	0	7	10800	1	401		0								DK_Icon_speedup_normal			DK_Bg_CM_Item4	3h				795							2400						
11006	8小时通用加速		小镇内任意1个队列的时间减少8小时	5	1	0	7	28800	1	401		0								DK_Icon_speedup_normal			DK_Bg_CM_Item4	8h				794							6400						
11011	1分钟建造加速		让1个建造队列的时间减少1分钟	5	2	0	7	60	1	509		0								DK_Icon_speedup_jz			DK_Bg_CM_Item1	1m				793							13.3333						
11012	5分钟建造加速		让1个建造队列的时间减少5分钟	5	2	0	7	300	1	403|509		0								DK_Icon_speedup_jz			DK_Bg_CM_Item1	5m				792							66.6666						
11013	30分钟建造加速		让1个建造队列的时间减少30分钟	5	2	0	7	1800	1			0								DK_Icon_speedup_jz			DK_Bg_CM_Item2	30m				791							400						
11014	1小时建造加速		让1个建造队列的时间减少1小时	5	2	0	7	3600	1	509|513		0								DK_Icon_speedup_jz			DK_Bg_CM_Item3	1h				790							800						
11015	3小时建造加速		让1个建造队列的时间减少3小时	5	2	0	7	10800	1			0								DK_Icon_speedup_jz			DK_Bg_CM_Item4	3h				789							2400						
11016	8小时建造加速		让1个建造队列的时间减少8小时	5	2	0	7	28800	1			0								DK_Icon_speedup_jz			DK_Bg_CM_Item4	8h				788							6400						
11021	1分钟招募加速		让1个招募队列的时间减少1分钟	5	3	0	7	60	1			0								DK_Icon_speedup_xl			DK_Bg_CM_Item1	1m				787							13.3333						
11022	5分钟招募加速		让1个招募队列的时间减少5分钟	5	3	0	7	300	1	403|504		0								DK_Icon_speedup_xl			DK_Bg_CM_Item1	5m				786							66.6666						
11023	30分钟招募加速		让1个招募队列的时间减少30分钟	5	3	0	7	1800	1			0								DK_Icon_speedup_xl			DK_Bg_CM_Item2	30m				785							400						
11024	1小时招募加速		让1个招募队列的时间减少1小时	5	3	0	7	3600	1			0								DK_Icon_speedup_xl			DK_Bg_CM_Item3	1h				784							800						
11025	3小时招募加速		让1个招募队列的时间减少3小时	5	3	0	7	10800	1			0								DK_Icon_speedup_xl			DK_Bg_CM_Item4	3h				783							2400						
11026	8小时招募加速		让1个招募队列的时间减少8小时	5	3	0	7	28800	1			0								DK_Icon_speedup_xl			DK_Bg_CM_Item4	8h				782							6400						
11031	1分钟研究加速		让1个研究队列的时间减少1分钟	5	4	0	7	60	1			0								DK_Icon_speedup_kj			DK_Bg_CM_Item1	1m				781							13.3333						
11032	5分钟研究加速		让1个研究队列的时间减少5分钟	5	4	0	7	300	1	403		0								DK_Icon_speedup_kj			DK_Bg_CM_Item1	5m				780							66.6666						
11033	30分钟研究加速		让1个研究队列的时间减少30分钟	5	4	0	7	1800	1			0								DK_Icon_speedup_kj			DK_Bg_CM_Item2	30m				779							400						
11034	1小时研究加速		让1个研究队列的时间减少1小时	5	4	0	7	3600	1			0								DK_Icon_speedup_kj			DK_Bg_CM_Item3	1h				778							800						
11035	3小时研究加速		让1个研究队列的时间减少3小时	5	4	0	7	10800	1			0								DK_Icon_speedup_kj			DK_Bg_CM_Item4	3h				777							2400						
11036	8小时研究加速		让1个研究队列的时间减少8小时	5	4	0	7	28800	1			0								DK_Icon_speedup_kj			DK_Bg_CM_Item4	8h				776							6400						
11041	1分钟治疗加速		治疗队列的时间减少1分钟	5	5	0	7	60	1			0								DK_Icon_speedup_zl			DK_Bg_CM_Item1	1m				775							13.3333						
11042	5分钟治疗加速		治疗队列的时间减少5分钟	5	5	0	7	300	1	403		0								DK_Icon_speedup_zl			DK_Bg_CM_Item1	5m				774							66.6666						
11043	30分钟治疗加速		治疗队列的时间减少30分钟	5	5	0	7	1800	1			0								DK_Icon_speedup_zl			DK_Bg_CM_Item2	30m				773							400						
11044	1小时治疗加速		治疗队列的时间减少1小时	5	5	0	7	3600	1	734		0								DK_Icon_speedup_zl			DK_Bg_CM_Item3	1h				772							800						
11045	3小时治疗加速		治疗队列的时间减少3小时	5	5	0	7	10800	1			0								DK_Icon_speedup_zl			DK_Bg_CM_Item4	3h				771							2400						
11046	8小时治疗加速		治疗队列的时间减少8小时	5	5	0	7	28800	1			0								DK_Icon_speedup_zl			DK_Bg_CM_Item4	8h				770							6400						
12001	赏金袋	假道具	发放给公会所有成员的赏金	99																DK_Icon_guild_gift_normal			DK_Bg_CM_Item0					100													
12002	赏金袋I	假道具	发放给公会所有成员的赏金	99																DK_Icon_guild_gift_normal			DK_Bg_CM_Item0					100													
12003	赏金袋II	假道具	发放给公会所有成员的赏金	99																DK_Icon_guild_gift_normal			DK_Bg_CM_Item0					100													
12004	赏金袋III	假道具	发放给公会所有成员的赏金	99																DK_Icon_guild_gift_normal			DK_Bg_CM_Item0					100													
12005	赏金袋IV	假道具	发放给公会所有成员的赏金	99																DK_Icon_guild_gift_normal			DK_Bg_CM_Item0					100													
12006	赏金袋V	假道具	发放给公会所有成员的赏金	99																DK_Icon_guild_gift_normal			DK_Bg_CM_Item0					100													
12007	赏金袋VI	假道具	发放给公会所有成员的赏金	99																DK_Icon_guild_gift_normal			DK_Bg_CM_Item0					100													
12008	赏金袋VII	假道具	发放给公会所有成员的赏金	99																DK_Icon_guild_gift_normal			DK_Bg_CM_Item0					100													
12009	赏金袋VIII	假道具	发放给公会所有成员的赏金	99																DK_Icon_guild_gift_normal			DK_Bg_CM_Item0					100													
12010	赏金袋IX	假道具	发放给公会所有成员的赏金	99																DK_Icon_guild_gift_normal			DK_Bg_CM_Item0					100													
12011	赏金袋X	假道具	发放给公会所有成员的赏金	99																DK_Icon_guild_gift_normal			DK_Bg_CM_Item0					100													
12101	商会赠礼I	假道具	赠送给公会所有成员的礼物	99																DK_Icon_guild_gift_purchase1			DK_Bg_CM_Item0					100													
12102	商会赠礼II	假道具	赠送给公会所有成员的礼物	99																DK_Icon_guild_gift_purchase2			DK_Bg_CM_Item0					100													
12103	商会赠礼III	假道具	赠送给公会所有成员的礼物	99																DK_Icon_guild_gift_purchase3			DK_Bg_CM_Item0					100													
12104	商会赠礼IV	假道具	赠送给公会所有成员的礼物	99																DK_Icon_guild_gift_purchase4			DK_Bg_CM_Item0					100													
12105	商会赠礼V	假道具	赠送给公会所有成员的礼物	99																DK_Icon_guild_gift_purchase5			DK_Bg_CM_Item0					100													
12201	克利欧佩特拉的宝箱	假道具		99																DK_Img_guild_gift_box			DK_Bg_CM_Item0					100													
12301	VIP每日赠礼	假道具	金海商会赠与会员的小礼物	99																DK_icon_vip_daily_gift			DK_Bg_CM_Item0					100													
12401	英雄装备	假道具	可能获得以下任何一件英雄装备	99																DK_im_icon_heros_equipment_box1			DK_Bg_CM_Item0					100													
12501	魔海宝箱	假道具	魔海深处的神秘宝箱	99																DK_img_research_battlepass_icon4			DK_Bg_CM_Item0					100													
12601	魔海至尊宝箱	假道具	魔海深处的神秘宝箱	99																DK_img_research_battlepass_icon3			DK_Bg_CM_Item0					100													
12701	征召宝箱	假道具	金海商会为公会准备礼物	99																DK_img_research_wnated_bg2			DK_Bg_CM_Item0					100													
13000	星期天海星		一种受小众人群喜欢的美丽食物。但是因为经常随着洋流飘动，所以各地的产量极度不稳地，且保质期短。所以价格常年处于波动状态	9					1			0	10000							DK_icon_global_starfish			DK_Bg_CM_Item0					9899													
13001	普通海星		没什么人喜欢的普通海产品	9					1			1								DK_icon_global_starfish2			DK_Bg_CM_Item0					9899													
14000	遗失秘宝		从海中钓到的古物，不知道其价值，拿去黑市鉴定一下吧！	9					1	229|501|731			10000							DK_icon_global_blackmarket_xiangzi			DK_Bg_CM_Item3					9899							100						
15001	深蓝海（7d）		蓝色的船只涂装-7天有效期	9		2	9	1|604800												DK_icon_global_ship_skin_6			DK_Bg_CM_Item4	7d				9999													
15002	阳光黄（7d）		黄色的船只涂装-7天有效期	9		2	9	2|604800		401										DK_icon_global_ship_skin_5			DK_Bg_CM_Item3	7d				9999							3000						
15003	翡翠绿（7d）		绿色的船只涂装-7天有效期	9		2	9	3|604800		401										DK_icon_global_ship_skin_3			DK_Bg_CM_Item3	7d				9999							3000						
15004	星辰紫（7d）		紫色的船只涂装-7天有效期	9		2	9	4|604800		401										DK_icon_global_ship_skin_2			DK_Bg_CM_Item3	7d				9999							3000						
15005	烈焰红（7d）		红色的船只涂装-7天有效期	9		2	9	5|604800												DK_icon_global_ship_skin_1			DK_Bg_CM_Item3	7d				9999							3000						
15006	银河灰（7d）		灰色的船只涂装-7天有效期	9		2	9	6|604800		401										DK_icon_global_ship_skin_4			DK_Bg_CM_Item3	7d				9999							3000						
15007	小克拉肯（7d）		小克拉肯船只涂装-7天有效期	9		2	9	7|604800			通过和小克拉肯一起玩活动获得									DK_Img_Ship_01			DK_Bg_CM_Item4	7d				9999							3000						
15008	深海猎食者（7d）		深海猎食者船只涂装-7天有效期	9		2	9	8|604800			通过竞技场获得									DK_icon_global_ship_skin_7			DK_Bg_CM_Item4	7d				9999							3000						
15011	感恩之翼（3d）		金海商会的作品，制作成火鸡样式的舰船。	9		2	9	9|259200												DK_icon_global_TGDship_skin_8			DK_Bg_CM_Item3	3d				9999													
15012	感恩之翼（7d）		金海商会的作品，制作成火鸡样式的舰船。	9		2	9	9|604800												DK_icon_global_TGDship_skin_8			DK_Bg_CM_Item3	7d				9999													
15013	感恩之翼（15d）		金海商会的作品，制作成火鸡样式的舰船。	9		2	9	9|1296000												DK_icon_global_TGDship_skin_8			DK_Bg_CM_Item3	15d				9999													
15014	感恩之翼（30d）		金海商会的作品，制作成火鸡样式的舰船。	9		2	9	9|2592000												DK_icon_global_TGDship_skin_8			DK_Bg_CM_Item4	30d				9999													
15015	感恩之翼（永久）		金海商会的作品，制作成火鸡样式的舰船。	9		1	9	9|-1			通过限时专属商店获得									DK_icon_global_TGDship_skin_8			DK_Bg_CM_Item4					9999													
15021	极光驯鹿号（3d）		极光驯鹿号在寒冬中现身，为世界送去温暖与祝福。	9		2	9	10|259200												DK_icon_global_ship_skin_christmas			DK_Bg_CM_Item3	3d				9999													
15022	极光驯鹿号（7d）		极光驯鹿号在寒冬中现身，为世界送去温暖与祝福。	9		2	9	10|604800												DK_icon_global_ship_skin_christmas			DK_Bg_CM_Item3	7d				9999													
15025	极光驯鹿号（永久）		极光驯鹿号在寒冬中现身，为世界送去温暖与祝福。	9		1	9	10|-1			通过限时专属商店获得									DK_icon_global_ship_skin_christmas			DK_Bg_CM_Item4					9999													
15029	极光航迹		使用后可获得船只航行的拖尾特效。	9		1	14	3002|1|-1			通过限时专属商店获得									DK_icon_global_shipeffects_2			DK_Bg_CM_Item4					9999													
15031	菌伞幽航（3d）		深海灵伞，指引迷航者归途。	9		2	9	11|259200												DK_icon_global_ship_skin_mushroom			DK_Bg_CM_Item3	3d				9999													
15032	菌伞幽航（7d）		深海灵伞，指引迷航者归途。	9		2	9	11|604800												DK_icon_global_ship_skin_mushroom			DK_Bg_CM_Item3	7d				9999													
15035	菌伞幽航（永久）		深海灵伞，指引迷航者归途。	9		1	9	11|-1			通过限时专属商店获得									DK_icon_global_ship_skin_mushroom			DK_Bg_CM_Item4					9999													
15039	梦伞航迹		使用后可获得船只航行的拖尾特效。	9		1	14	3003|1|-1			通过限时专属商店获得									DK_icon_global_shipeffects_3			DK_Bg_CM_Item4					9999													
15041	熊猫之旅（3d）		自在江湖，漂流中悟出大侠之道！	9		2	9	12|259200												DK_icon_global_ship_skin_8			DK_Bg_CM_Item3	3d				9999													
15042	熊猫之旅（7d）		自在江湖，漂流中悟出大侠之道！	9		2	9	12|604800												DK_icon_global_ship_skin_8			DK_Bg_CM_Item3	7d				9999													
15045	熊猫之旅（永久）		自在江湖，漂流中悟出大侠之道！	9		1	9	12|-1			通过限时专属商店获得									DK_icon_global_ship_skin_8			DK_Bg_CM_Item4					9999													
15049	瑞竹航迹		使用后可获得船只航行的拖尾特效。	9		1	14	3004|1|-1			通过限时专属商店获得									DK_icon_global_shipeffects_5			DK_Bg_CM_Item4					9999													
15051	风暴王座（7d）		风暴女神的无敌旗舰，驾驭雷霆，统御海洋。	9		2	9	13|604800												DK_icon_global_ship_skin_kvk			DK_Bg_CM_Item3	7d				9999													
15054	风暴王座（30d）		风暴女神的无敌旗舰，驾驭雷霆，统御海洋。	9		2	9	13|2592000												DK_icon_global_ship_skin_kvk			DK_Bg_CM_Item4	30d				9999													
15055	风暴王座（永久）		风暴女神的无敌旗舰，驾驭雷霆，统御海洋。	9		1	9	13|-1			通过远征商店购买									DK_icon_global_ship_skin_kvk			DK_Bg_CM_Item4					9999													
15058	风暴航迹		使用后可获得船只航行的拖尾特效。	9		1	14	3005|1|-1			通过远征商店购买									DK_icon_global_shipeffects_4			DK_Bg_CM_Item4					9999													
15059	风暴航迹（30d）		使用后可获得船只航行的拖尾特效。	9		1	14	3005|1|2592000												DK_icon_global_shipeffects_4			DK_Bg_CM_Item4	30d				9999													
